"object_number","object_name","dimensions","reproduction.path"
"NK2825","schilderij","hoogte 49 cm; breedte 86 cm","NK_collectie/images_remove_frame/4a6e47bf-14e1-0e96-a008-e0dd8401c6c9_cropped.jpg"
"NK2825","schilderij","hoogte 49 cm; breedte 86 cm","NK_collectie/images_remove_frame/e6f740b7-2097-b35a-faba-51d1ceb8c805_cropped.jpg"
"NK2825","schilderij","hoogte 49 cm; breedte 86 cm","NK_collectie/images_remove_frame/b71e08a7-ce7e-cbf9-f084-93375c8a10a8_cropped.jpg"
"NK2830","schilderij","hoogte 63.5 cm; breedte 85.5 cm","NK_collectie/images_remove_frame/dbbeb8d6-a03f-4679-b941-9a565b5eb49c_cropped.jpg"
"NK2830","schilderij","hoogte 63.5 cm; breedte 85.5 cm","NK_collectie/images_remove_frame/a798f339-5348-1e18-f8ba-bf35097ed972_cropped.jpg"
"NK2830","schilderij","hoogte 63.5 cm; breedte 85.5 cm","NK_collectie/images_remove_frame/e0ca95c1-3fd0-198b-5b24-45eaa1ddfd2d_cropped.jpg"
"NK2832","schilderij","hoogte 89 cm; breedte 76.5 cm; hoogte 106 cm; breedte 99 cm; diepte 8 cm","NK_collectie/images_remove_frame/9385786e-116a-c79f-7d66-3fe789bdcab5_cropped.jpg"
"NK2832","schilderij","hoogte 89 cm; breedte 76.5 cm; hoogte 106 cm; breedte 99 cm; diepte 8 cm","NK_collectie/images_remove_frame/b56ea241-9357-cc6c-0d3e-3a25d3904455_cropped.jpg"
"NK2838","schilderij","hoogte 52 cm; breedte 97 cm","NK_collectie/images_remove_frame/d49898bc-fe5a-cece-d84f-b47bb4fec443_cropped.jpg"
"NK2841","schilderij","hoogte 73 cm; breedte 61 cm; diepte 8 cm; hoogte 60 cm; breedte 45 cm","NK_collectie/images_remove_frame/475d7fd9-e286-a3af-2960-0e1b66b8e0c4_cropped.jpg"
"NK2841","schilderij","hoogte 73 cm; breedte 61 cm; diepte 8 cm; hoogte 60 cm; breedte 45 cm","NK_collectie/images_remove_frame/40f56a81-1758-0de4-386d-4b8adc5d30f6_cropped.jpg"
"NK2841","schilderij","hoogte 73 cm; breedte 61 cm; diepte 8 cm; hoogte 60 cm; breedte 45 cm","NK_collectie/images_remove_frame/d06f39f9-8387-0565-150b-77dadcc0aed9_cropped.jpg"
"NK2842","schilderij","hoogte 128 cm; breedte 114 cm; diepte 4.5 cm; hoogte 114 cm; breedte 97 cm","NK_collectie/images_remove_frame/6262902c-f34e-28a9-22b7-ce359dbc3913_cropped.jpg"
"NK2842","schilderij","hoogte 128 cm; breedte 114 cm; diepte 4.5 cm; hoogte 114 cm; breedte 97 cm","NK_collectie/images_remove_frame/f647977c-3c4d-bb63-ba5a-f32ac32a3452_cropped.jpg"
"NK2843","schilderij","hoogte 73.5 cm; breedte 106 cm","NK_collectie/images_remove_frame/17d0fb29-2a6f-8db3-3a32-8aee78e2aaaf_cropped.jpg"
"NK2843","schilderij","hoogte 73.5 cm; breedte 106 cm","NK_collectie/images_remove_frame/5da3c479-6b03-8ca2-cfbe-2790fae65be2_cropped.jpg"
"NK2844","schilderij","hoogte 120 cm; breedte 140.5 cm; diepte 12 cm; breedte 100.5 cm; hoogte 97.5 cm; breedte 118.5 cm","NK_collectie/images_remove_frame/56459175-aba0-5b05-fbbf-b32f79b94511_cropped.jpg"
